Class,Compound,Compound_new
Quinone,"1,4-Benzenediol, 2-methyl-",Methylhydroquinone
Alcohol,1-Octen-3-ol,1-Octen-3-ol
Xylene,"Benzene, 1,3-dimethyl-",m-Xylene
Naphthalene,Naphthalene,Naphthalene
MCFA,Nonanoic acid,Nonanoic acid
Alcohol,n-Tridecanol,n-Tridecanol
MCFA,Octanoic acid,Octanoic acid
Ester,2-Ethylhexyl salicylate,Octyl salicylate
Phenol,Orcinol,Orcinol
Quinone,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",p-Benzoquinone
Ketone,p-ethyl acetophenone,p-ethyl acetophenone
Ketone,"Ethanone, 1-(4-ethylphenyl)-",P-ethylacetophenone
Acid Anhydride,"2,2-Dimethylpropanoic anhydride",Pivalic anhydride
Quinone,"p-Benzoquinone, 2-methyl-",p-Toluquinone
Furan,3-Methyl-2-(2-methyl-2-butenyl)-furan,Rosefuran
Monoterpene,Sabinene,Sabinene
Styrene,Styrene,Styrene
Ester,"Sulfurous acid, 2-ethylhexyl nonyl ester","Sulfurous acid, 2-ethylhexyl nonyl ester"
Monoterpene,Terpinolene,Terpinolene
Alcohol,n-Tridecan-1-ol,Tridecanol
Alcohol,1-Undecanol,Undecanol
Unknown,Unknown phthalate RI 2560.6,Unknown phthalate RI 2560.6
Unknown,Unknown RI 1026,Unknown RI 1026
Unknown,Unknown RI 1045.5,Unknown RI 1045.5
Unknown,Unknown RI 1061.3,Unknown RI 1061.3
Unknown,Unknown RI 1079.2,Unknown RI 1079.2
Unknown,Unknown RI 1081.4,Unknown RI 1081.4
Unknown,Unknown RI 1092.4,Unknown RI 1092.4
Unknown,Unknown RI 1125.8,Unknown RI 1125.8
Unknown,Unknown RI 1205.1,Unknown RI 1205.1
Unknown,Unknown RI 1256.7,Unknown RI 1256.7
Unknown,Unknown RI 1281.7,Unknown RI 1281.7
Unknown,Unknown RI 1302.4,Unknown RI 1302.4
Unknown,Unknown RI 1434.1,Unknown RI 1434.1
Unknown,Unknown RI 1677.1,Unknown RI 1677.1
Unknown,Unknown RI 888.7,Unknown RI 888.7
Unknown,Unknown RI 899.2,Unknown RI 899.2
Unknown,Unknown RI 946.6,Unknown RI 946.6
Unknown,Unknown RI 967.7,Unknown RI 967.7
Unknown,Unknown siloxane RI 1067.4,Unknown siloxane RI 1067.4
Unknown,Unknown siloxane RI 1123.7,Unknown siloxane RI 1123.7
Unknown,Unknown siloxane RI 884.7,Unknown siloxane RI 884.7
Unknown,Unknown terpene RI 1467.6,Unknown terpene RI 1467.6
Unknown,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate"
Ester,"1,4-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester","1,4-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester"
Ester,"Butanoic acid, 3-methyl-, ethyl ester","Butanoic acid, 3-methyl-, ethyl ester"
Ketone,"2-Pentanone, 4-hydroxy-4-methyl-","2-Pentanone, 4-hydroxy-4-methyl-"
Naphthalene,"Naphthalene, 2,3,6-trimethyl-","Naphthalene, 2,3,6-trimethyl-"
